Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
17:55,29 Nov,PSS,Posadas,AR1766,Aerolineas Argentinas,Departed,18:37
18:00,29 Nov,COR,Cordoba,AR1506,Aerolineas Argentinas,Departed,19:01
18:05,29 Nov,JUJ,Jujuy,AR1472,Aerolineas Argentinas,Departed,18:27
18:05,29 Nov,GRU,Sao Paulo,G37685,Gol,Departed,18:17
18:20,29 Nov,POA,Porto Alegre,AR1232,Aerolineas Argentinas,Departed,18:33
18:30,29 Nov,MDZ,Mendoza,AR1402,Aerolineas Argentinas,Departed,19:33
18:30,29 Nov,UAQ,San Juan,AR1424,Aerolineas Argentinas,Departed,18:58
18:40,29 Nov,RSA,Santa Rosa,AR1520,Aerolineas Argentinas,Departed,19:54
18:50,29 Nov,LIM,Lima,AR1364,Aerolineas Argentinas,Departed,19:08
19:10,29 Nov,NQN,Neuquen,AR1654,Aerolineas Argentinas,Estimated,20:40
19:25,29 Nov,MDZ,Mendoza,AR1416,Aerolineas Argentinas,Departed,19:40
19:30,29 Nov,SCL,Santiago,AR1282,Aerolineas Argentinas,Departed,19:43
19:35,29 Nov,PSS,Posadas,AR1762,Aerolineas Argentinas,Departed,20:59
20:10,29 Nov,GIG,Rio De Janeiro,AR1262,Aerolineas Argentinas,Departed,20:24
20:20,29 Nov,FLN,Florianopolis,G37693,Gol,Departed,21:30
20:35,29 Nov,ROS,Rosario,AR1708,Aerolineas Argentinas,Departed,20:35
20:40,29 Nov,BHI,Bahia Blanca,AR1622,Aerolineas Argentinas,Departed,21:07
20:45,29 Nov,NQN,Neuquen,AR1652,Aerolineas Argentinas,Departed,21:21
21:40,29 Nov,GRU,Sao Paulo,AR1246,Aerolineas Argentinas,Departed,22:12
23:55,29 Nov,ASU,Asuncion,AR1340,Aerolineas Argentinas,Departed,00:02
04:05,30 Nov,FTE,El Calafate,AR1872,Aerolineas Argentinas,Departed,04:13
04:05,30 Nov,REL,Trelew,AR1854,Aerolineas Argentinas,Departed,04:17
04:40,30 Nov,CRD,Comodoro Rivadavia,AR1836,Aerolineas Argentinas,Departed,04:50
05:05,30 Nov,FTE,El Calafate,AR1866,Aerolineas Argentinas,Departed,05:15
05:05,30 Nov,MDZ,Mendoza,AR1408,Aerolineas Argentinas,Departed,05:18
05:15,30 Nov,IGR,Iguazu,AR1730,Aerolineas Argentinas,Departed,05:21
05:15,30 Nov,NQN,Neuquen,AR1664,Aerolineas Argentinas,Departed,05:36
06:10,30 Nov,IGR,Iguazu,AR1724,Aerolineas Argentinas,Departed,06:19
06:10,30 Nov,MVD,Montevideo,AR1380,Aerolineas Argentinas,Departed,06:24
06:30,30 Nov,GRU,Sao Paulo,AR1240,Aerolineas Argentinas,Departed,06:39
06:35,30 Nov,USH,Ushuaia,AR1892,Aerolineas Argentinas,Departed,06:56
07:10,30 Nov,COR,Cordoba,AR1508,Aerolineas Argentinas,Departed,07:12
07:15,30 Nov,SFN,Santa Fe,AR1720,Aerolineas Argentinas,Departed,07:25
07:20,30 Nov,MDQ,Mar Del Plata,AR1602,Aerolineas Argentinas,Departed,07:28
07:25,30 Nov,FTE,El Calafate,AR1860,Aerolineas Argentinas,Departed,07:35
07:35,30 Nov,TUC,Tucuman,AR1482,Aerolineas Argentinas,Departed,07:40
07:35,30 Nov,GIG,Rio De Janeiro,AR1260,Aerolineas Argentinas,Departed,07:43
08:10,30 Nov,NQN,Neuquen,AR1650,Aerolineas Argentinas,Departed,08:31
08:30,30 Nov,BRC,San Carlos de Bariloche,AR1682,Aerolineas Argentinas,Estimated,08:41
08:40,30 Nov,RGL,Rio Gallegos,AR1800,Aerolineas Argentinas,Departed,08:52
08:50,30 Nov,CNQ,Corrientes,AR1770,Aerolineas Argentinas,Departed,09:00
09:00,30 Nov,FMA,Formosa,AR1768,Aerolineas Argentinas,Estimated,09:25
09:10,30 Nov,CPC,San Martin De Los Andes,AR1672,Aerolineas Argentinas,Departed,09:35
09:10,30 Nov,GRU,Sao Paulo,AR1248,Aerolineas Argentinas,Departed,09:34
09:40,30 Nov,BHI,Bahia Blanca,AR1620,Aerolineas Argentinas,Departed,09:57
09:40,30 Nov,SLA,Salta,AR1456,Aerolineas Argentinas,Departed,09:52
10:00,30 Nov,BRC,San Carlos de Bariloche,AR1684,Aerolineas Argentinas,Departed,10:43
10:00,30 Nov,MDZ,Mendoza,AR1406,Aerolineas Argentinas,Departed,10:22
10:15,30 Nov,MVD,Montevideo,AR1384,Aerolineas Argentinas,Estimated,11:40
10:20,30 Nov,LUQ,San Luis,AR1430,Aerolineas Argentinas,Departed,10:34
10:50,30 Nov,RES,Resistencia,AR1780,Aerolineas Argentinas,Departed,10:56
11:00,30 Nov,MDZ,Mendoza,AR1448,Aerolineas Argentinas,Departed,11:23
11:05,30 Nov,MDQ,Mar Del Plata,AR1608,Aerolineas Argentinas,Departed,11:27
11:10,30 Nov,SCL,Santiago,AR1284,Aerolineas Argentinas,Departed,11:19
11:25,30 Nov,IGR,Iguazu,AR1736,Aerolineas Argentinas,Departed,11:42
11:35,30 Nov,CRD,Comodoro Rivadavia,AR1838,Aerolineas Argentinas,Departed,12:11
11:40,30 Nov,GIG,Rio De Janeiro,G37653,Gol,Departed,11:58
11:40,30 Nov,AFA,San Rafael,AR1434,Aerolineas Argentinas,Departed,12:02
11:45,30 Nov,USH,Ushuaia,AR1882,Aerolineas Argentinas,Departed,11:55
12:10,30 Nov,MDQ,Mar Del Plata,AR1604,Aerolineas Argentinas,Estimated,12:10
12:25,30 Nov,COR,Cordoba,AR1542,Aerolineas Argentinas,Departed,12:35
12:45,30 Nov,CPC,San Martin De Los Andes,AR1670,Aerolineas Argentinas,Departed,13:04
12:50,30 Nov,GRU,Sao Paulo,LA8033,LATAM Airlines,Departed,13:00
13:00,30 Nov,EQS,Esquel,AR1666,Aerolineas Argentinas,Departed,14:14
13:20,30 Nov,TUC,Tucuman,AR1480,Aerolineas Argentinas,Departed,13:24
13:30,30 Nov,FMA,Formosa,AR1760,Aerolineas Argentinas,Departed,13:41
13:30,30 Nov,SCL,Santiago,AR1286,Aerolineas Argentinas,Departed,13:38
