Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
10:50,02 Dec,RES,Resistencia,AR1780,Aerolineas Argentinas,Departed,11:19
11:00,02 Dec,REL,Trelew,AR1852,Aerolineas Argentinas,Departed,11:10
11:05,02 Dec,MDQ,Mar Del Plata,AR1608,Aerolineas Argentinas,Departed,11:39
11:10,02 Dec,SCL,Santiago,AR1284,Aerolineas Argentinas,Departed,11:25
11:35,02 Dec,CRD,Comodoro Rivadavia,AR1838,Aerolineas Argentinas,Departed,12:15
11:40,02 Dec,MDZ,Mendoza,AR1406,Aerolineas Argentinas,Departed,12:04
11:40,02 Dec,GIG,Rio De Janeiro,G37653,Gol,Departed,12:13
11:40,02 Dec,AFA,San Rafael,AR1434,Aerolineas Argentinas,Departed,11:51
11:55,02 Dec,CNQ,Corrientes,AR1772,Aerolineas Argentinas,Estimated,13:20
12:05,02 Dec,BRC,San Carlos de Bariloche,AR1676,Aerolineas Argentinas,Departed,12:24
12:10,02 Dec,SDE,Santiago Del Estero,AR1494,Aerolineas Argentinas,Departed,12:35
12:45,02 Dec,CPC,San Martin De Los Andes,AR1670,Aerolineas Argentinas,Departed,13:14
12:50,02 Dec,GRU,Sao Paulo,LA8033,LATAM Airlines,Departed,13:00
12:55,02 Dec,COR,Cordoba,AR1500,Aerolineas Argentinas,Departed,13:01
13:00,02 Dec,EQS,Esquel,AR1666,Aerolineas Argentinas,Departed,13:40
13:05,02 Dec,TUC,Tucuman,AR1484,Aerolineas Argentinas,Departed,13:38
13:10,02 Dec,UAQ,San Juan,AR1424,Aerolineas Argentinas,Departed,13:34
13:15,02 Dec,SLA,Salta,AR1450,Aerolineas Argentinas,Departed,13:25
13:30,02 Dec,SCL,Santiago,AR1286,Aerolineas Argentinas,Departed,15:08
13:40,02 Dec,GRU,Sao Paulo,G37665,Gol,Departed,14:47
13:50,02 Dec,CWB,Curitiba,AR1226,Aerolineas Argentinas,Departed,13:57
13:55,02 Dec,RES,Resistencia,AR1784,Aerolineas Argentinas,Departed,14:18
14:10,02 Dec,TUC,Tucuman,AR1480,Aerolineas Argentinas,Departed,15:18
14:20,02 Dec,FTE,El Calafate,AR1870,Aerolineas Argentinas,Departed,14:38
15:05,02 Dec,VDM,Viedma,AR1640,Aerolineas Argentinas,Departed,15:55
15:25,02 Dec,CRD,Comodoro Rivadavia,AR1826,Aerolineas Argentinas,Departed,15:38
15:50,02 Dec,USH,Ushuaia,AR1886,Aerolineas Argentinas,Departed,16:16
15:55,02 Dec,FLN,Florianopolis,G37693,Gol,Departed,16:14
16:05,02 Dec,REL,Trelew,AR1850,Aerolineas Argentinas,Departed,16:21
16:20,02 Dec,SFN,Santa Fe,AR1722,Aerolineas Argentinas,Departed,16:30
16:40,02 Dec,IGR,Iguazu,AR1738,Aerolineas Argentinas,Departed,16:51
16:45,02 Dec,BOG,Bogota,AR1360,Aerolineas Argentinas,Departed,17:14
16:50,02 Dec,FMA,Formosa,AR1778,Aerolineas Argentinas,Departed,17:38
17:15,02 Dec,RHD,Rio Hondo,AR1492,Aerolineas Argentinas,Departed,17:25
17:30,02 Dec,COR,Cordoba,AR1544,Aerolineas Argentinas,Departed,17:44
17:45,02 Dec,COR,Cordoba,AR1506,Aerolineas Argentinas,Departed,17:49
17:55,02 Dec,GRU,Sao Paulo,G37685,Gol,Departed,18:18
18:10,02 Dec,JUJ,Jujuy,AR1472,Aerolineas Argentinas,Departed,18:39
18:45,02 Dec,MDZ,Mendoza,AR1416,Aerolineas Argentinas,Departed,20:01
18:50,02 Dec,IGR,Iguazu,AR1740,Aerolineas Argentinas,Departed,19:19
18:50,02 Dec,LIM,Lima,AR1364,Aerolineas Argentinas,Departed,19:01
19:10,02 Dec,LUQ,San Luis,AR1432,Aerolineas Argentinas,Departed,19:07
19:10,02 Dec,SSA,Salvador,AR1220,Aerolineas Argentinas,Departed,19:31
19:35,02 Dec,PSS,Posadas,AR1762,Aerolineas Argentinas,Departed,19:51
19:55,02 Dec,REC,Recife,G37753,Gol,Departed,20:10
20:35,02 Dec,ROS,Rosario,AR1708,Aerolineas Argentinas,Departed,21:02
20:40,02 Dec,BHI,Bahia Blanca,AR1622,Aerolineas Argentinas,Departed,20:49
20:45,02 Dec,NQN,Neuquen,AR1652,Aerolineas Argentinas,Departed,20:53
20:55,02 Dec,GIG,Rio De Janeiro,AR1262,Aerolineas Argentinas,Departed,21:22
21:40,02 Dec,GRU,Sao Paulo,AR1246,Aerolineas Argentinas,Departed,22:10
21:55,02 Dec,SSA,Salvador,G37491,Gol,Departed,22:04
23:55,02 Dec,ASU,Asuncion,AR1340,Aerolineas Argentinas,Departed,00:01
04:05,03 Dec,USH,Ushuaia,AR1884,Aerolineas Argentinas,Departed,04:13
04:45,03 Dec,JUJ,Jujuy,AR1470,Aerolineas Argentinas,Departed,04:58
05:00,03 Dec,MDZ,Mendoza,AR1408,Aerolineas Argentinas,Departed,05:08
05:05,03 Dec,FTE,El Calafate,AR1698,Aerolineas Argentinas,Departed,05:32
05:15,03 Dec,IGR,Iguazu,AR1730,Aerolineas Argentinas,Departed,05:38
06:05,03 Dec,FTE,El Calafate,AR1870,Aerolineas Argentinas,Departed,06:20
06:20,03 Dec,IGR,Iguazu,AR1734,Aerolineas Argentinas,Departed,06:26
06:40,03 Dec,BRC,San Carlos de Bariloche,AR1642,Aerolineas Argentinas,Departed,06:53
07:00,03 Dec,MDZ,Mendoza,AR1410,Aerolineas Argentinas,Departed,07:09
07:10,03 Dec,COR,Cordoba,AR1508,Aerolineas Argentinas,Departed,07:24
07:35,03 Dec,GIG,Rio De Janeiro,AR1260,Aerolineas Argentinas,Departed,07:47
08:05,03 Dec,ROS,Rosario,AR1702,Aerolineas Argentinas,Departed,08:20
08:45,03 Dec,COR,Cordoba,AR1506,Aerolineas Argentinas,Departed,09:13
09:10,03 Dec,CPC,San Martin De Los Andes,AR1672,Aerolineas Argentinas,Departed,09:19
09:10,03 Dec,GRU,Sao Paulo,AR1248,Aerolineas Argentinas,Unknown,09:15
09:30,03 Dec,NQN,Neuquen,AR1658,Aerolineas Argentinas,Departed,09:36
09:40,03 Dec,BHI,Bahia Blanca,AR1620,Aerolineas Argentinas,Departed,09:49
09:40,03 Dec,SLA,Salta,AR1456,Aerolineas Argentinas,Departed,09:52
09:45,03 Dec,USH,Ushuaia,AR1896,Aerolineas Argentinas,Departed,10:00
10:00,03 Dec,CRD,Comodoro Rivadavia,AR1834,Aerolineas Argentinas,Departed,10:25
10:15,03 Dec,BRC,San Carlos de Bariloche,AR1684,Aerolineas Argentinas,Departed,10:29
10:20,03 Dec,LUQ,San Luis,AR1430,Aerolineas Argentinas,Departed,10:35
10:50,03 Dec,RES,Resistencia,AR1780,Aerolineas Argentinas,Departed,11:37
10:50,03 Dec,IGR,Iguazu,AR1736,Aerolineas Argentinas,Departed,11:00
10:50,03 Dec,PRA,Parana,AR1728,Aerolineas Argentinas,Departed,10:54
11:10,03 Dec,MDQ,Mar Del Plata,AR1602,Aerolineas Argentinas,Departed,11:19
11:10,03 Dec,SCL,Santiago,AR1284,Aerolineas Argentinas,Departed,11:24
11:50,03 Dec,GIG,Rio De Janeiro,G37653,Gol,Departed,12:02
11:55,03 Dec,AFA,San Rafael,AR1434,Aerolineas Argentinas,Departed,12:06
12:10,03 Dec,SDE,Santiago Del Estero,AR1494,Aerolineas Argentinas,Departed,12:59
12:15,03 Dec,PSS,Posadas,AR1766,Aerolineas Argentinas,Departed,12:23
12:20,03 Dec,MDQ,Mar Del Plata,AR1604,Aerolineas Argentinas,Departed,12:31
12:50,03 Dec,GRU,Sao Paulo,LA8033,LATAM Airlines,Departed,13:08
13:00,03 Dec,CPC,San Martin De Los Andes,AR1670,Aerolineas Argentinas,Departed,13:11
13:05,03 Dec,USH,Ushuaia,AR1892,Aerolineas Argentinas,Departed,13:16
13:05,03 Dec,FMA,Formosa,AR1778,Aerolineas Argentinas,Departed,13:35
13:15,03 Dec,TUC,Tucuman,AR1480,Aerolineas Argentinas,Departed,13:46
13:30,03 Dec,SCL,Santiago,AR1286,Aerolineas Argentinas,Departed,13:47
13:30,03 Dec,MDQ,Mar Del Plata,AR1600,Aerolineas Argentinas,Estimated,14:20
13:40,03 Dec,EQS,Esquel,AR1666,Aerolineas Argentinas,Departed,14:13
13:50,03 Dec,GRU,Sao Paulo,G37665,Gol,Departed,14:06
13:50,03 Dec,COR,Cordoba,AR1504,Aerolineas Argentinas,Departed,14:36
14:00,03 Dec,CNQ,Corrientes,AR1772,Aerolineas Argentinas,Departed,14:14
14:40,03 Dec,TUC,Tucuman,AR1486,Aerolineas Argentinas,Departed,15:21
14:45,03 Dec,RES,Resistencia,AR1782,Aerolineas Argentinas,Departed,14:53
15:10,03 Dec,IRJ,La Rioja,AR1440,Aerolineas Argentinas,Departed,15:16
15:15,03 Dec,GRU,Sao Paulo,AR1242,Aerolineas Argentinas,Departed,15:36
15:30,03 Dec,USH,Ushuaia,AR1886,Aerolineas Argentinas,Departed,15:43
15:40,03 Dec,NQN,Neuquen,AR1656,Aerolineas Argentinas,Departed,16:04
16:05,03 Dec,REL,Trelew,AR1850,Aerolineas Argentinas,Departed,16:13
16:05,03 Dec,BSB,Brasilia,AR1218,Aerolineas Argentinas,Departed,16:31
16:45,03 Dec,BOG,Bogota,AR1360,Aerolineas Argentinas,Departed,16:46
16:45,03 Dec,SLA,Salta,AR1468,Aerolineas Argentinas,Departed,16:52
16:50,03 Dec,FMA,Formosa,AR1760,Aerolineas Argentinas,Departed,16:58
17:20,03 Dec,CRD,Comodoro Rivadavia,AR1822,Aerolineas Argentinas,Departed,17:33
17:30,03 Dec,COR,Cordoba,AR1544,Aerolineas Argentinas,Departed,18:17
17:55,03 Dec,GRU,Sao Paulo,G37685,Gol,Departed,18:30
17:55,03 Dec,MDZ,Mendoza,AR1402,Aerolineas Argentinas,Departed,18:26
18:05,03 Dec,JUJ,Jujuy,AR1472,Aerolineas Argentinas,Departed,18:34
18:20,03 Dec,POA,Porto Alegre,AR1232,Aerolineas Argentinas,Departed,18:49
18:30,03 Dec,RSA,Santa Rosa,AR1520,Aerolineas Argentinas,Departed,18:43
18:35,03 Dec,UAQ,San Juan,AR1424,Aerolineas Argentinas,Departed,18:57
18:45,03 Dec,NQN,Neuquen,AR1654,Aerolineas Argentinas,Departed,19:01
18:50,03 Dec,IGR,Iguazu,AR1740,Aerolineas Argentinas,Departed,19:07
18:50,03 Dec,LIM,Lima,AR1364,Aerolineas Argentinas,Departed,19:17
19:00,03 Dec,MDZ,Mendoza,AR1416,Aerolineas Argentinas,Departed,20:45
19:10,03 Dec,SSA,Salvador,AR1220,Aerolineas Argentinas,Departed,19:30
19:20,03 Dec,SDE,Santiago Del Estero,AR1490,Aerolineas Argentinas,Departed,19:32
19:30,03 Dec,SCL,Santiago,AR1282,Aerolineas Argentinas,Departed,19:40
19:35,03 Dec,PSS,Posadas,AR1762,Aerolineas Argentinas,Departed,19:53
20:10,03 Dec,GIG,Rio De Janeiro,AR1262,Aerolineas Argentinas,Departed,20:21
20:20,03 Dec,FLN,Florianopolis,G37693,Gol,Departed,20:40
20:30,03 Dec,MDQ,Mar Del Plata,AR1610,Aerolineas Argentinas,Departed,20:49
20:30,03 Dec,BRC,San Carlos de Bariloche,AR1678,Aerolineas Argentinas,Departed,21:03
20:35,03 Dec,ROS,Rosario,AR1708,Aerolineas Argentinas,Estimated,21:15
20:40,03 Dec,BHI,Bahia Blanca,AR1622,Aerolineas Argentinas,Departed,20:58
20:45,03 Dec,NQN,Neuquen,AR1652,Aerolineas Argentinas,Departed,21:15
21:40,03 Dec,GRU,Sao Paulo,AR1246,Aerolineas Argentinas,Departed,21:56
22:20,03 Dec,BRC,San Carlos de Bariloche,AR1686,Aerolineas Argentinas,Departed,22:47
23:55,03 Dec,ASU,Asuncion,AR1340,Aerolineas Argentinas,Departed,23:49
