TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
12:20,AR1802,Rio Gallegos (RGL),Aerolineas Argentinas,B738 (LV-CXS),,Departed 12:36
12:39,WJ3014,Santiago (SCL),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 12:53
12:50,LA8033,Sao Paulo (GRU),LATAM Airlines,A320 (PR-MAG),,Departed 12:59
12:55,AR1442,Catamarca (CTC),Aerolineas Argentinas,E190 (LV-CMA),,Departed 14:04
12:55,AR1670,San Martin de los Andes (CPC),Aerolineas Argentinas,B738 (LV-FRK),,Departed 13:05
13:00,AR1666,Esquel (EQS),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Departed 13:10
13:00,AR1716,Rosario (ROS),Aerolineas Argentinas,E190 (LV-CEU),,Departed 13:07
13:00,FO5014,Cordoba (COR),Flybondi,B738 (LV-KJD),,Departed 13:03
13:05,AR1644,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-FVO),,Departed 13:15
13:15,AR1480,Tucuman (TUC),Aerolineas Argentinas,B737 (LV-CAP),,Departed 13:22
13:20,AR1772,Corrientes (CNQ),Aerolineas Argentinas,E190 (LV-FPT),,Departed 14:06
13:21,WJ3090,Asuncion (ASU),JetSMART (King Penguin Livery),A320 (LV-JQE),,Departed 13:31
13:25,AR1440,La Rioja (IRJ),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Departed 13:33
13:30,AR1640,Viedma (VDM),Aerolineas Argentinas,E190 (LV-GBK),,Departed 14:01
13:35,AR1450,Salta (SLA),Aerolineas Argentinas,E190 (LV-CMB),,Departed 14:39
13:35,FO5150,Corrientes (CNQ),Flybondi,B738 (LV-KCD),,Departed 14:26
13:35,WJ3242,Mendoza (MDZ),JetSMART (Culpeo Livery),A320 (LV-IVN),,Departed 13:36
13:40,AR1286,Santiago (SCL),Aerolineas Argentinas,B738 (LV-GFQ),,Departed 13:57
14:00,AR1676,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-GKT),,Departed 14:13
14:00,FO5054,Mendoza (MDZ),Flybondi,B738 (LV-KEG),,Departed 14:10
14:10,AR1352,Punta del Este (PDP),Aerolineas Argentinas,E190 (LV-CIF),,Departed 15:05
14:10,G37665,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PS-GPL),,Departed 14:59
14:15,FO5230,Santiago del Estero (SDE),Flybondi,B738 (LV-KEH),,Departed 10:51
14:20,AR1604,Mar del Plata (MDQ),Aerolineas Argentinas,B737 (LV-CBF),,Departed 14:46
14:40,AR1422,San Juan (UAQ),Aerolineas Argentinas,E190 (LV-CPI),,Departed 15:01
