TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
20:55,AR1530,Cordoba (COR),Aerolineas Argentinas,B738 (LV-GKT),,Departed 21:17
21:05,LA424,Santiago (SCL),LATAM Airlines,A320 (PR-TYV),,Departed 21:22
21:30,FO5304,Neuquen (NQN),Flybondi,B738 (LV-KEG),,Estimated dep. 19:27
21:40,AR1246,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-FVN),,Departed 21:56
21:40,H2536,Santiago (SCL),Sky Airline,A20N (CC-AZN),,Departed 22:01
21:40,FO5280,San Carlos de Bariloche (BRC),Flybondi,738,,Unknown
22:00,FO5056,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Departed 22:05
22:05,WJ3390,Puerto Iguazu (IGR),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Departed 22:52
22:15,LA8141,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TYO),,Departed 22:20
22:20,AR1686,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-FYK),,Departed 22:47
22:30,AR1368,Santa Cruz (VVI),Aerolineas Argentinas,E190 (LV-CET),,Departed 22:42
22:35,JA1006,Santiago (SCL),JetSMART (Scarlet Macaw Livery),A20N (CC-AWZ),,Departed 23:33
23:30,AR1824,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CID),,Departed 23:36
23:45,FO5112,Puerto Iguazu (IGR),Flybondi,738,,Unknown
23:55,AR1340,Asuncion (ASU),Aerolineas Argentinas,E190 (LV-CEU),,Departed 23:49
"Monday, Dec 04",,,,,,
2:05,AR1844,Rio Grande (RGA),Aerolineas Argentinas,B38M (LV-KEJ),,Departed 02:21
3:25,AR1846,Rio Grande (RGA),Aerolineas Argentinas,B738 (LV-FRK),,Departed 03:30
4:05,AR1854,Trelew (REL),Aerolineas Argentinas,B738 (LV-GVC),,Departed 04:10
4:15,AR1872,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-FXQ),,Departed 04:39
4:40,FO5062,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Departed 05:14
4:45,AR1470,Jujuy (JUJ),Aerolineas Argentinas,E190 (LV-CPI),,Departed 04:45
5:05,WJ3492,Salta (SLA),JetSMART (Culpeo Livery),A320 (LV-IVN),,Departed 05:08
5:10,AR1228,Curitiba (CWB),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Departed 05:19
5:15,AR1664,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GGK),,Departed 05:26
5:25,AR1234,Porto Alegre (POA),Aerolineas Argentinas,B38M (LV-GVE),,Departed 05:35
5:40,FO5020,Cordoba (COR),Flybondi,738,,Unknown
5:40,WJ3266,Cordoba (COR),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Departed 05:41
5:55,AR1462,Salta (SLA),Aerolineas Argentinas,E190 (LV-CHO),,Departed 05:58
5:55,AR1474,Jujuy (JUJ),Aerolineas Argentinas,B738 (LV-FSK),,Departed 06:01
5:55,AR1542,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FVN),,Departed 06:11
6:00,FO5120,Posadas (PSS),Flybondi,B738 (LV-KGN),,Departed 04:50
6:05,WJ3390,Puerto Iguazu (IGR),JetSMART (Jaguar Livery),A320 (LV-HVT),,Departed 06:16
