],FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
14:15,AR1870,Trelew (REL),Aerolineas Argentinas,B738 (LV-GVC),,Landed 14:16
14:17,WJ3191,San Carlos de Bariloche (BRC),JetSMART (Jaguar Livery),A320 (LV-HVT),,Landed 14:00
14:21,WJ3621,Corrientes (CNQ),JetSMART (Culpeo Livery),A320 (LV-IVN),,Landed 13:55
14:25,FO5231,Santiago del Estero (SDE),Flybondi,B738 (LV-KGN),,Landed 14:11
14:30,FO5053,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
14:35,AR1781,Resistencia (RES),Aerolineas Argentinas,E190 (LV-CPI),,Landed 14:54
14:40,AR1413,Mendoza (MDZ),Aerolineas Argentinas,E190 (LV-CKZ),,Landed 14:29
14:40,AR1843,Ushuaia (USH),Aerolineas Argentinas,B738 (LV-FUC),,Landed 14:45
14:40,AR1457,Salta (SLA),Aerolineas Argentinas,B738 (LV-FQZ),,Landed 14:20
14:45,AR1261,Rio de Janeiro (GIG),Aerolineas Argentinas,B38M (LV-HKU),,Landed 14:34
14:59,WJ3551,San Martin de los Andes (CPC),JetSMART (Cougar Livery),A320 (LV-KDP),,Diverted to EZE
15:05,AR1625,Bahia Blanca (BHI),Aerolineas Argentinas,B737 (LV-BZO),,Landed 14:49
15:10,FO5121,Posadas (PSS),Flybondi,B738 (LV-KJF),,Landed 15:00
15:15,AR1605,Mar del Plata (MDQ),Aerolineas Argentinas,B738 (LV-FSK),,Landed 15:05
15:20,AR1407,Mendoza (MDZ),Aerolineas Argentinas,E190 (LV-CHQ),,Landed 15:23
15:20,LA8034,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TQC),,Landed 15:14
15:25,AR1499,Tucuman (TUC),Aerolineas Argentinas,B738 (LV-GKS),,Landed 15:19
15:35,AR1249,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-GGK),,Landed 15:30
15:40,AR1877,Ushuaia (USH),Aerolineas Argentinas,B38M (LV-HKV),,Landed 15:34
15:55,FO5501,Comodoro Rivadavia (CRD),Flybondi,B738 (LV-KJE),,Landed 15:10
15:55,FO5053,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Landed 15:58
15:55,FO5231,Santiago del Estero (SDE),Flybondi,B738 (LV-KGN),,Unknown
16:00,AR1435,San Rafael (AFA),Aerolineas Argentinas,E190 (LV-CDZ),,Landed 15:48
16:00,LA2380,Lima (LIM),LATAM Airlines,A320 (CC-BFU),,Landed 15:28
16:05,AR1767,Posadas (PSS),Aerolineas Argentinas,B737 (LV-CAD),,Landed 15:42
16:10,AR1495,Santiago del Estero (SDE),Aerolineas Argentinas,E190 (LV-CMA),,Landed 16:34
16:10,FO5103,Puerto Iguazu (IGR),Flybondi,B738 (LV-KEG),,Landed 16:45
16:20,AR1285,Santiago (SCL),Aerolineas Argentinas,B738 (LV-FQC),,Landed 16:22
16:25,AR1743,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-CMB),,Landed 16:26
16:35,AR1405,Mendoza (MDZ),Aerolineas Argentinas,E190 (LV-CHS),,Landed 16:29
16:35,AR1631,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-GVD),,Landed 16:57
